time,AM,BC,BP,BSE,BSW,HP,MC,PM,TC,TP,TSE,TSW
1960-11-01,7.0861187,3.3097339,3.4661815,5.777632,3.6960084,4.978089,5.058595,12.527296,2.5659199,2.5718076,4.358701,2.979473
1960-12-01,9.26135,3.8294165,3.1938565,4.6763825,3.4382164,3.714122,4.7794657,14.358498,2.6520789,2.9298353,4.3105617,2.211256
1961-01-01,7.651971,2.8963706,2.0724094,4.0957365,2.5986354,3.2248125,5.8151784,20.363224,2.1574352,2.4944327,2.9751594,2.7118192
1961-02-01,7.012216,2.806267,3.3560832,4.6467047,3.009152,2.930486,5.195635,16.192755,2.180904,1.9701877,2.7701735,2.900409
1961-03-01,6.273319,2.7246273,2.6328166,5.7080936,3.527314,4.444553,3.598931,9.39431,1.9692175,2.2596872,3.924062,2.3223758
1961-04-01,6.9101267,3.5734496,3.6210704,4.128289,4.6661277,2.940258,4.1390653,10.566454,2.959317,3.1889303,2.7427275,3.8895903
1961-05-01,10.466258,4.3319917,4.310709,6.2935953,4.445666,4.313734,5.064297,5.6672187,3.667413,3.6314769,5.193948,3.1284306
1961-06-01,6.274563,5.2548547,7.0354633,6.8406315,4.63768,4.3250117,5.0637417,6.5208607,6.0718303,5.5629954,5.5077252,3.6689098
1961-07-01,5.196802,4.080425,6.385111,6.005356,6.471191,6.212705,4.591599,5.585639,5.0432324,4.9192996,5.776434,6.64738
1961-08-01,7.7015114,4.969941,3.9441025,6.8261704,4.9973297,5.694297,5.7941837,12.921426,6.497892,6.785088,5.2614455,4.8457794
1961-09-01,7.2882676,5.116672,5.3970094,8.44164,7.104429,6.905743,5.701659,12.970763,4.4783487,4.110229,5.66219,5.6049833
1961-10-01,9.369783,5.990335,4.415052,6.3955083,4.9975624,5.672296,7.440306,17.8321,3.2552423,3.36672,6.371458,4.0156794
1961-11-01,6.499348,3.829788,3.5546944,6.105029,4.672679,4.6489267,5.5830407,14.074294,2.1540518,2.8703358,4.8077993,2.9566057
1961-12-01,7.9031982,3.1559043,2.5057042,5.5636272,3.0897007,3.593417,4.5348005,12.796826,3.1000414,2.1222427,4.1761074,2.6913133
1962-01-01,7.10944,4.8066506,3.4094436,4.646334,2.388542,2.8420436,7.0134683,19.377739,2.8787067,2.7967,3.6606956,2.1524303
1962-02-01,4.9961596,2.9054046,3.241835,4.940213,2.5443912,2.1440785,5.3701,9.821284,2.894487,2.480994,2.7151196,2.0561814
1962-03-01,6.7561398,3.1936722,2.8901646,5.099809,3.2493653,3.3193629,3.2873168,8.664146,2.245963,1.9662433,4.0713615,2.6768265
1962-04-01,9.509636,3.2141628,3.6404097,6.1300817,4.0893426,4.062035,4.490084,11.031633,2.8645751,3.2350888,3.1805468,3.1913981
1962-05-01,5.374124,3.5565376,5.0332284,6.4827037,6.1304903,6.132798,3.5945442,5.2238398,2.8495073,3.1497197,5.0681496,3.3631976
1962-06-01,7.8247695,5.3151646,6.4251466,6.7188783,5.6877613,5.4186664,5.232482,7.604696,6.448109,5.8009887,6.154305,5.2819285
1962-07-01,8.144598,4.6205797,6.115211,7.001279,6.0446,6.7226086,5.6507564,5.166983,5.362805,5.565362,6.2606506,5.353627
1962-08-01,9.322088,5.877613,6.0152364,7.608979,7.250711,7.282114,5.7290225,10.527913,5.003727,5.4402003,6.187057,5.455136
1962-09-01,8.340777,4.78978,5.2812786,7.302241,5.5146,5.622654,5.7277427,14.700822,3.4660294,4.44822,6.561644,3.9502313
1962-10-01,7.842427,4.1889186,4.6203046,5.5877004,4.0506377,3.9490232,5.9216266,14.977319,2.7733095,4.1427217,4.926999,3.9487739
1962-11-01,13.514571,3.336503,2.7156491,6.539762,3.9593332,3.7990737,5.8692794,16.400253,2.4292562,2.6310742,4.595085,2.8452954
1962-12-01,9.161076,4.751952,3.1195927,4.9891872,3.2349496,3.7080743,6.2654696,17.78378,3.0363972,2.881041,3.3759465,3.1810458
1963-01-01,7.8545814,4.921103,2.829335,4.6629066,2.3295586,2.519195,4.870593,14.650997,3.7858453,3.3182518,3.9100604,2.314114
1963-02-01,7.5713434,3.3707492,3.226752,4.575284,2.6006863,3.0573764,5.970892,16.002611,2.91849,2.2689977,4.2717614,2.1668034
1963-03-01,7.4689937,3.185606,2.8188667,5.050248,3.089888,3.7175283,4.133304,9.391655,2.7255173,2.260724,4.357742,1.8979887
1963-04-01,7.567535,3.209041,4.5839806,6.0792446,5.7252555,4.1626105,4.1348987,7.931254,2.6166375,2.5932128,4.263752,2.4821234
1963-05-01,6.688466,3.512709,3.9736686,5.753698,5.5633163,5.1466794,3.4792163,6.8122387,3.2692466,2.5346637,4.08601,2.812315
1963-06-01,6.9028006,4.4608903,5.832233,7.3625937,7.2891917,5.4408817,4.7769036,6.1242976,5.323204,5.6480885,5.696126,5.385154
1963-07-01,6.7401,5.1889424,7.324478,6.7707634,6.766981,6.664041,5.9748898,8.143643,5.1849036,5.891302,6.8797884,6.5741315
1963-08-01,9.252549,4.9001546,5.439972,6.9653273,6.073386,4.273441,5.1903963,5.930919,5.208876,6.0845475,5.18956,4.26391
1963-09-01,10.750475,4.692784,4.845204,7.5444536,4.9084473,4.8352327,4.8104806,11.2467785,3.9948637,4.449447,5.0219183,5.3601584
1963-10-01,10.1469755,3.470636,2.9345381,4.642276,3.692528,3.6824315,5.950947,18.170815,3.07416,3.1111817,4.2735586,3.6780314
1963-11-01,8.555161,3.284411,2.720748,6.681827,4.024332,4.0152607,5.858038,16.848816,2.4178271,2.8393688,5.588122,3.454198
1963-12-01,6.927904,3.6666636,3.2778494,5.047551,2.882451,2.6794424,6.8650355,19.646599,2.4057806,2.6837907,4.4344254,2.3463914
1964-01-01,7.609187,2.5715935,2.3929703,5.322902,2.8916686,3.3744376,4.4117846,14.170305,2.424858,2.2139351,4.192915,2.4869163
1964-02-01,5.925182,3.280577,2.6486955,3.9221613,2.4125044,2.2894928,4.5188026,15.817215,2.2151775,2.474662,3.141513,1.7962542
1964-03-01,7.0672264,2.7000215,2.4413388,5.6264176,2.9587479,2.8101885,4.5893774,12.078894,2.2299743,1.9943494,3.502322,2.4667735
1964-04-01,6.1977525,2.8951302,3.8805783,4.9400835,5.163463,4.5809035,4.890825,10.873087,2.6936617,3.1917763,3.3105075,3.242162
1964-05-01,5.6450434,3.4670799,5.6254945,6.5185795,5.96121,5.5418878,4.416656,7.507924,2.9479218,3.3201075,4.9135914,4.1737986
1964-06-01,6.5428987,4.043796,4.7424746,8.121392,5.8570375,4.4016757,5.4715605,6.978518,4.9580784,3.9078536,6.012464,3.7983468
